iter	RMSE
0	4878105.373
1	4808627.173
2	4799681.776
3	4794665.091
4	4788323.754
5	4775582.181
6	4755139.33
7	4739211.134
8	4735143.313
9	4725373.611
10	4672955.107
11	4611381.781
12	4608484.407
13	4607180.58
14	4567877.198
15	4562099.663
16	4532657.074
17	4527072.831
18	4502351.064
19	4444363.67
20	4441366.392
21	4438685.6
22	4428885.037
23	4426551.932
24	4369683.269
25	4368663.424
26	4368297.997
27	4366682.148
28	4310879.954
29	4309742.554
30	4307535.625
31	4304622.703
32	4249674.663
33	4248132.701
34	4243430.902
35	4243381.861
36	4242976.756
37	4241126.382
38	4185709.339
39	4185661.23
40	4183232.645
41	4180841.157
42	4179106.656
43	4158098.447
44	4158077.785
45	4144377.399
46	4100846.839
47	4067053.6
48	4023153.295
49	4020843.035
50	4019794.516
51	3992913.694
52	3955700.152
53	3955676.205
54	3954463.424
55	3952573.096
56	3952212.41
57	3952207.289
58	3951144.203
59	3908442.351
60	3858706.735
61	3858669.164
62	3841089.802
63	3800021.477
64	3798556.343
65	3780139.752
66	3779641.769
67	3779638.321
68	3741270.672
69	3741259.012
70	3693866.688
71	3692593.034
72	3645794.735
73	3645111.033
74	3644028.91
75	3627398.304
76	3625257.133
77	3624621.353
78	3624608.563
79	3616099.056
80	3570152.098
81	3570109.234
82	3569790.101
83	3565746.007
84	3549504.552
85	3548696.26
86	3545859.318
87	3544328.82
88	3499518.022
89	3499130.438
90	3499108.087
91	3454655.874
92	3453637.93
93	3452218.909
94	3451156.529
95	3407693.936
96	3395671.78
97	3370564.126
98	3369623.729
99	3356975.679
100	3356313.644
101	3355388.137
102	3313221.087
103	3296010.896
104	3291954.062
105	3291204.836
106	3290641.626
107	3288433.221
108	3287702.335
109	3246337.823
110	3246232.157
111	3205626.385
112	3172392.144
113	3132949.353
114	3132195.716
115	3104720.072
116	3102573.267
117	3102125.656
118	3100509.11
119	3089805.549
120	3085792.66
121	3083218.636
122	3080210.223
123	3041180.443
124	3041176.337
125	3039061.39
126	3026263.901
127	3024764.477
