iter	RMSE
0	4019996.124
1	3969945.966
2	3942913.22
3	3935539.666
4	3886328.099
5	3868672.201
6	3820985.341
7	3815305.077
8	3796645.632
9	3764718.549
10	3733684.062
11	3687504.336
12	3676704.743
13	3642140.508
14	3632669.567
15	3629356.102
16	3620047.539
17	3595709.391
18	3552669.487
19	3542254.39
20	3499298.059
21	3456620.02
22	3422835.157
23	3419117.65
24	3377496.776
25	3336446.518
26	3296443.546
27	3256601.623
28	3217004.519
29	3192061.629
30	3153703.786
31	3115943.126
32	3106506.374
33	3081688.637
34	3067014.43
35	3029874.878
36	3025911.188
37	2989657.119
38	2954141.994
39	2945688.082
40	2937423.36
41	2934808.341
42	2900866.046
43	2895971.091
44	2861915.135
45	2827916.868
46	2794435.46
47	2790508.809
48	2765093.023
49	2745807.709
50	2714317.257
51	2698697.781
52	2691788.505
53	2660261.07
54	2629012.68
55	2622771.807
56	2598621.489
57	2597708.911
58	2573495.419
59	2550723.899
60	2540570.884
61	2540092.696
62	2536918.785
63	2514493.522
64	2485056.786
65	2456688.684
66	2435571.651
67	2434036.506
68	2430452.437
69	2402989.153
70	2400439.663
71	2398850.163
72	2394981.244
73	2386562.432
74	2358592.134
75	2342992.658
76	2316653.027
77	2290518.455
78	2289220.557
79	2288354.058
80	2262427.066
81	2236407.461
82	2235766.704
83	2210893.932
84	2195879.74
85	2193746.675
86	2185274.75
87	2183992.102
88	2159727.042
89	2158957.802
90	2152710.538
91	2128212.598
92	2104370.885
93	2103184.099
94	2089733.727
95	2083027.051
96	2066666.814
97	2065267.229
98	2063275.199
99	2039703.25
100	2030746.591
101	2028241.244
102	2026454.787
103	2021156.02
104	2018806.855
105	2017940.336
106	1999920.294
107	1998883.192
108	1976434.076
109	1954048.725
110	1932046.463
111	1910899.368
112	1909854.23
113	1889100.255
114	1888711.5
115	1887447.908
116	1866457.112
117	1865581.51
118	1849408.805
119	1848727.391
120	1848018.676
121	1846991.48
122	1838589.664
123	1818710.866
124	1817229.977
125	1797701.143
126	1791469.824
127	1772289.548
128	1771323.23
129	1770851.822
130	1758508.05
131	1739635.717
132	1738123.287
133	1725530.175
134	1724864.112
135	1722411.413
136	1704120.868
137	1691950.761
138	1691427.976
139	1690761.286
140	1672955.207
141	1655235.959
142	1653807.219
143	1636600.728
144	1622156.422
145	1617874.743
146	1609547.47
147	1591757.465
148	1578710.615
149	1562011.577
150	1550835.171
151	1550284.19
152	1549366.616
153	1548010.032
154	1546795.942
155	1530896.239
156	1530237.231
157	1514460.596
158	1498873.2
159	1483673.111
160	1468257.287
161	1452795.923
162	1438183.64
163	1438148.047
164	1423773.801
165	1409623.219
166	1409096.449
167	1395074.774
168	1381347.847
169	1367755.16
170	1366542.115
