iter	Passed	Remaining
0	180	541165
1	224	336453
2	268	267969
3	310	232518
4	356	213712
5	403	201581
6	451	192855
7	497	186167
8	543	180636
9	585	174982
10	630	171263
11	671	167187
12	715	164442
13	762	162692
14	807	160702
15	851	158841
16	897	157487
17	944	156550
18	985	154666
19	1030	153477
20	1075	152613
21	1119	151564
22	1162	150422
23	1205	149538
24	1248	148583
25	1292	147790
26	1334	146996
27	1376	146075
28	1418	145288
29	1462	144765
30	1508	144483
31	1549	143688
32	1583	142328
33	1624	141695
34	1668	141325
35	1711	140925
36	1753	140400
37	1799	140228
38	1840	139749
39	1884	139479
40	1926	139058
41	1970	138777
42	2008	138113
43	2050	137781
44	2092	137398
45	2135	137129
46	2176	136731
47	2217	136350
48	2242	135080
49	2283	134755
50	2307	133453
51	2346	133045
52	2388	132799
53	2430	132621
54	2475	132542
55	2520	132513
56	2564	132432
57	2608	132297
58	2649	132056
59	2693	131969
60	2735	131819
61	2778	131688
62	2823	131617
63	2866	131498
64	2912	131532
65	2957	131464
66	2998	131271
67	3038	130994
68	3081	130896
69	3115	130415
70	3160	130382
71	3201	130174
72	3243	130048
73	3287	129981
74	3331	129937
75	3374	129842
76	3416	129692
77	3449	129231
78	3495	129258
79	3541	129259
80	3585	129210
81	3626	129067
82	3666	128873
83	3696	128336
84	3739	128229
85	3779	128065
86	3822	127984
87	3865	127918
88	3905	127741
89	3959	128039
90	4006	128078
91	4048	127970
92	4082	127614
93	4124	127496
94	4168	127480
95	4210	127371
96	4249	127177
97	4313	127732
98	4356	127671
99	4397	127522
100	4437	127374
101	4478	127249
102	4518	127076
103	4558	126942
104	4601	126882
105	4644	126798
106	4686	126723
107	4729	126635
108	4773	126616
109	4816	126554
110	4859	126472
111	4901	126394
112	4945	126358
113	4987	126265
114	5036	126360
115	5080	126320
116	5123	126244
117	5169	126247
118	5211	126176
119	5256	126162
120	5299	126089
121	5342	126038
122	5387	126018
123	5419	125696
124	5459	125574
125	5504	125563
126	5548	125514
127	5590	125436
128	5632	125353
129	5696	125765
130	5741	125737
131	5780	125597
132	5821	125498
133	5864	125437
134	5908	125385
135	5952	125359
136	5992	125236
137	6012	124684
138	6052	124583
139	6096	124550
140	6137	124443
141	6177	124332
142	6221	124304
143	6259	124137
144	6302	124091
145	6343	124003
146	6385	123925
147	6428	123881
148	6472	123842
149	6515	123791
150	6560	123785
151	6604	123745
152	6647	123692
153	6689	123621
154	6735	123626
155	6824	124422
156	6879	124570
157	6921	124499
158	6963	124414
159	6999	124236
160	7039	124133
161	7082	124074
162	7106	123681
163	7146	123580
164	7192	123587
165	7234	123507
166	7277	123456
167	7317	123351
168	7352	123163
169	7392	123057
170	7439	123074
171	7482	123020
172	7524	122951
173	7562	122833
174	7606	122798
175	7648	122719
176	7691	122674
