zpid,bucketType,rate,rateSource,lastUpdatedTimestamp,lastUpdatedDate
34119484,30 Year Fixed Bucket,6.346,ZGMI,2024-11-29 06:07:07.7 UTC,2024-11-29
34119484,Arm 5 Bucket,6.727,ZGMI,2024-11-29 06:07:07.7 UTC,2024-11-29
34119484,15 Year Fixed Bucket,5.764,ZGMI,2024-11-29 06:07:07.7 UTC,2024-11-29
14513801,30 Year Fixed Bucket,6.396,ZGMI,2024-11-29 09:02:19.465 UTC,2024-11-29
14513801,15 Year Fixed Bucket,5.768,ZGMI,2024-11-29 09:02:19.465 UTC,2024-11-29
14513801,Arm 5 Bucket,6.534,ZGMI,2024-11-29 09:02:19.465 UTC,2024-11-29
244454750,Arm 5 Bucket,,ZGMI,2024-11-29 09:01:57.523 UTC,2024-11-29
244454750,15 Year Fixed Bucket,5.5,ZGMI,2024-11-29 09:01:57.523 UTC,2024-11-29
244454750,30 Year Fixed Bucket,6.166,ZGMI,2024-11-29 09:01:57.523 UTC,2024-11-29
402291717,15 Year Fixed Bucket,5.557,ZGMI,2024-11-29 09:02:12.339 UTC,2024-11-29
402291717,Arm 5 Bucket,6.327,ZGMI,2024-11-29 09:02:12.339 UTC,2024-11-29
402291717,30 Year Fixed Bucket,6.268,ZGMI,2024-11-29 09:02:12.339 UTC,2024-11-29
15117126,30 Year Fixed Bucket,6.574,ZGMI,2024-11-29 06:55:57.617 UTC,2024-11-29
15117126,Arm 5 Bucket,6.715,ZGMI,2024-11-29 06:55:57.617 UTC,2024-11-29
15117126,15 Year Fixed Bucket,6.253,ZGMI,2024-11-29 06:55:57.617 UTC,2024-11-29
7954303,Arm 5 Bucket,6.536,ZGMI,2024-11-29 09:02:13.552 UTC,2024-11-29
7954303,30 Year Fixed Bucket,6.393,ZGMI,2024-11-29 09:02:13.552 UTC,2024-11-29
7954303,15 Year Fixed Bucket,5.785,ZGMI,2024-11-29 09:02:13.552 UTC,2024-11-29
6286251,Arm 5 Bucket,6.523,ZGMI,2024-11-29 09:02:09.69 UTC,2024-11-29
6286251,15 Year Fixed Bucket,5.728,ZGMI,2024-11-29 09:02:09.69 UTC,2024-11-29
6286251,30 Year Fixed Bucket,6.444,ZGMI,2024-11-29 09:02:09.69 UTC,2024-11-29
20927131,15 Year Fixed Bucket,5.566,ZGMI,2024-11-29 08:05:40.399 UTC,2024-11-29
20927131,30 Year Fixed Bucket,6.326,ZGMI,2024-11-29 08:05:40.399 UTC,2024-11-29
20927131,Arm 5 Bucket,6.321,ZGMI,2024-11-29 08:05:40.399 UTC,2024-11-29
68270282,30 Year Fixed Bucket,6.355,ZGMI,2024-11-29 08:50:56.013 UTC,2024-11-29
68270282,Arm 5 Bucket,6.312,ZGMI,2024-11-29 08:50:56.013 UTC,2024-11-29
68270282,15 Year Fixed Bucket,5.756,ZGMI,2024-11-29 08:50:56.013 UTC,2024-11-29
10494130,15 Year Fixed Bucket,5.716,ZGMI,2024-11-29 08:02:43.405 UTC,2024-11-29
10494130,30 Year Fixed Bucket,6.395,ZGMI,2024-11-29 08:02:43.405 UTC,2024-11-29
10494130,Arm 5 Bucket,6.524,ZGMI,2024-11-29 08:02:43.405 UTC,2024-11-29
10407948,Arm 5 Bucket,6.25,ZGMI,2024-11-29 08:19:15.309 UTC,2024-11-29
10407948,30 Year Fixed Bucket,6.351,ZGMI,2024-11-29 08:19:15.309 UTC,2024-11-29
10407948,15 Year Fixed Bucket,6.279,ZGMI,2024-11-29 08:19:15.309 UTC,2024-11-29
10574740,30 Year Fixed Bucket,6.395,ZGMI,2024-11-29 09:02:08.161 UTC,2024-11-29
10574740,Arm 5 Bucket,6.524,ZGMI,2024-11-29 09:02:08.161 UTC,2024-11-29
10574740,15 Year Fixed Bucket,5.716,ZGMI,2024-11-29 09:02:08.161 UTC,2024-11-29
10315868,30 Year Fixed Bucket,6.351,ZGMI,2024-11-29 07:42:42.913 UTC,2024-11-29
10315868,15 Year Fixed Bucket,6.279,ZGMI,2024-11-29 07:42:42.913 UTC,2024-11-29
10315868,Arm 5 Bucket,6.25,ZGMI,2024-11-29 07:42:42.913 UTC,2024-11-29
10217844,Arm 5 Bucket,6.25,ZGMI,2024-11-29 09:02:00.566 UTC,2024-11-29
10217844,15 Year Fixed Bucket,6.279,ZGMI,2024-11-29 09:02:00.566 UTC,2024-11-29
10217844,30 Year Fixed Bucket,6.351,ZGMI,2024-11-29 09:02:00.566 UTC,2024-11-29
68591181,Arm 5 Bucket,,ZGMI,2024-11-20 20:52:43.189 UTC,2024-11-20
219873124,Arm 5 Bucket,,ZGMI,2024-11-20 23:55:35.306 UTC,2024-11-20
244868025,Arm 5 Bucket,,ZGMI,2024-11-20 22:34:09.599 UTC,2024-11-20
30392474,Arm 5 Bucket,,ZGMI,2024-11-20 21:58:47.711 UTC,2024-11-20
11493254,Arm 5 Bucket,,ZGMI,2024-11-20 23:08:05.076 UTC,2024-11-20
2057932604,Arm 5 Bucket,,ZGMI,2024-11-20 22:39:36.532 UTC,2024-11-20
10389790,Arm 5 Bucket,,ZGMI,2024-11-20 23:59:02.526 UTC,2024-11-20
306558927,Arm 5 Bucket,,ZGMI,2024-11-20 23:48:32.146 UTC,2024-11-20
2084028530,Arm 5 Bucket,,ZGMI,2024-11-20 22:43:36.498 UTC,2024-11-20
441134470,Arm 5 Bucket,,ZGMI,2024-11-20 22:47:58.642 UTC,2024-11-20
36544881,Arm 5 Bucket,,ZGMI,2024-11-20 23:27:51.335 UTC,2024-11-20
80850213,Arm 5 Bucket,,ZGMI,2024-11-20 23:49:22.3 UTC,2024-11-20
1212818,Arm 5 Bucket,,ZGMI,2024-11-20 22:55:08.689 UTC,2024-11-20
34383558,Arm 5 Bucket,,ZGMI,2024-11-20 22:03:58.726 UTC,2024-11-20
420774704,Arm 5 Bucket,,ZGMI,2024-11-20 23:47:35.312 UTC,2024-11-20
245399463,Arm 5 Bucket,,ZGMI,2024-11-20 23:20:42.085 UTC,2024-11-20
73660995,Arm 5 Bucket,,ZGMI,2024-11-20 23:38:35.237 UTC,2024-11-20
32314956,Arm 5 Bucket,,ZGMI,2024-11-20 23:48:26.053 UTC,2024-11-20
34117777,Arm 5 Bucket,,ZGMI,2024-11-20 22:44:45.775 UTC,2024-11-20
33357492,Arm 5 Bucket,,ZGMI,2024-11-20 21:45:27.812 UTC,2024-11-20
310728400,Arm 5 Bucket,,ZGMI,2024-11-20 21:53:32.164 UTC,2024-11-20
2059017860,Arm 5 Bucket,,ZGMI,2024-11-20 21:53:54.734 UTC,2024-11-20
10537731,Arm 5 Bucket,,ZGMI,2024-11-20 23:19:15.746 UTC,2024-11-20
33363504,Arm 5 Bucket,,ZGMI,2024-11-20 23:49:58.721 UTC,2024-11-20
30255154,Arm 5 Bucket,,ZGMI,2024-11-20 23:22:11.723 UTC,2024-11-20
35865340,Arm 5 Bucket,,ZGMI,2024-11-20 20:10:08.202 UTC,2024-11-20
35901019,Arm 5 Bucket,,ZGMI,2024-11-20 20:58:42.922 UTC,2024-11-20
442668167,Arm 5 Bucket,,ZGMI,2024-11-20 20:05:05.281 UTC,2024-11-20
35847449,Arm 5 Bucket,,ZGMI,2024-11-20 20:38:44.863 UTC,2024-11-20
35872540,Arm 5 Bucket,,ZGMI,2024-11-20 18:56:00.485 UTC,2024-11-20
442725227,Arm 5 Bucket,,ZGMI,2024-11-20 21:07:19.456 UTC,2024-11-20
35841172,Arm 5 Bucket,,ZGMI,2024-11-20 19:58:27.416 UTC,2024-11-20
65461494,Arm 5 Bucket,,ZGMI,2024-11-20 20:59:20.144 UTC,2024-11-20
35932638,Arm 5 Bucket,,ZGMI,2024-11-20 20:43:07.901 UTC,2024-11-20
65461409,Arm 5 Bucket,,ZGMI,2024-11-20 20:54:42.687 UTC,2024-11-20
35884082,Arm 5 Bucket,,ZGMI,2024-11-20 21:00:19.374 UTC,2024-11-20
35876294,Arm 5 Bucket,,ZGMI,2024-11-20 19:54:58.054 UTC,2024-11-20
35872067,Arm 5 Bucket,,ZGMI,2024-11-20 20:10:45.896 UTC,2024-11-20
442742092,Arm 5 Bucket,,ZGMI,2024-11-20 20:38:53.158 UTC,2024-11-20
2060474859,Arm 5 Bucket,,ZGMI,2024-11-20 20:25:46.391 UTC,2024-11-20
442743343,Arm 5 Bucket,,ZGMI,2024-11-20 20:48:43.287 UTC,2024-11-20
2132563976,Arm 5 Bucket,,ZGMI,2024-11-20 20:48:13 UTC,2024-11-20
347955805,Arm 5 Bucket,,ZGMI,2024-11-20 20:17:41.356 UTC,2024-11-20
35922874,Arm 5 Bucket,,ZGMI,2024-11-20 20:55:57.109 UTC,2024-11-20
35872460,Arm 5 Bucket,,ZGMI,2024-11-20 20:49:47.521 UTC,2024-11-20
68591181,Arm 5 Bucket,,ZGMI,2024-11-20 20:52:43.189 UTC,2024-11-20
219873124,Arm 5 Bucket,,ZGMI,2024-11-20 23:55:35.306 UTC,2024-11-20
244868025,Arm 5 Bucket,,ZGMI,2024-11-20 22:34:09.599 UTC,2024-11-20
30392474,Arm 5 Bucket,,ZGMI,2024-11-20 21:58:47.711 UTC,2024-11-20
11493254,Arm 5 Bucket,,ZGMI,2024-11-20 23:08:05.076 UTC,2024-11-20
2057932604,Arm 5 Bucket,,ZGMI,2024-11-20 22:39:36.532 UTC,2024-11-20
10389790,Arm 5 Bucket,,ZGMI,2024-11-20 23:59:02.526 UTC,2024-11-20
306558927,Arm 5 Bucket,,ZGMI,2024-11-20 23:48:32.146 UTC,2024-11-20
2084028530,Arm 5 Bucket,,ZGMI,2024-11-20 22:43:36.498 UTC,2024-11-20
441134470,Arm 5 Bucket,,ZGMI,2024-11-20 22:47:58.642 UTC,2024-11-20
36544881,Arm 5 Bucket,,ZGMI,2024-11-20 23:27:51.335 UTC,2024-11-20
80850213,Arm 5 Bucket,,ZGMI,2024-11-20 23:49:22.3 UTC,2024-11-20
1212818,Arm 5 Bucket,,ZGMI,2024-11-20 22:55:08.689 UTC,2024-11-20
34383558,Arm 5 Bucket,,ZGMI,2024-11-20 22:03:58.726 UTC,2024-11-20
420774704,Arm 5 Bucket,,ZGMI,2024-11-20 23:47:35.312 UTC,2024-11-20
245399463,Arm 5 Bucket,,ZGMI,2024-11-20 23:20:42.085 UTC,2024-11-20
73660995,Arm 5 Bucket,,ZGMI,2024-11-20 23:38:35.237 UTC,2024-11-20
32314956,Arm 5 Bucket,,ZGMI,2024-11-20 23:48:26.053 UTC,2024-11-20
34117777,Arm 5 Bucket,,ZGMI,2024-11-20 22:44:45.775 UTC,2024-11-20
33357492,Arm 5 Bucket,,ZGMI,2024-11-20 21:45:27.812 UTC,2024-11-20
310728400,Arm 5 Bucket,,ZGMI,2024-11-20 21:53:32.164 UTC,2024-11-20
2059017860,Arm 5 Bucket,,ZGMI,2024-11-20 21:53:54.734 UTC,2024-11-20
10537731,Arm 5 Bucket,,ZGMI,2024-11-20 23:19:15.746 UTC,2024-11-20
33363504,Arm 5 Bucket,,ZGMI,2024-11-20 23:49:58.721 UTC,2024-11-20
30255154,Arm 5 Bucket,,ZGMI,2024-11-20 23:22:11.723 UTC,2024-11-20
68591181,Arm 5 Bucket,,ZGMI,2024-11-20 20:52:43.189 UTC,2024-11-20
219873124,Arm 5 Bucket,,ZGMI,2024-11-20 23:55:35.306 UTC,2024-11-20
244868025,Arm 5 Bucket,,ZGMI,2024-11-20 22:34:09.599 UTC,2024-11-20
30392474,Arm 5 Bucket,,ZGMI,2024-11-20 21:58:47.711 UTC,2024-11-20
11493254,Arm 5 Bucket,,ZGMI,2024-11-20 23:08:05.076 UTC,2024-11-20
2057932604,Arm 5 Bucket,,ZGMI,2024-11-20 22:39:36.532 UTC,2024-11-20
10389790,Arm 5 Bucket,,ZGMI,2024-11-20 23:59:02.526 UTC,2024-11-20
306558927,Arm 5 Bucket,,ZGMI,2024-11-20 23:48:32.146 UTC,2024-11-20
2084028530,Arm 5 Bucket,,ZGMI,2024-11-20 22:43:36.498 UTC,2024-11-20
441134470,Arm 5 Bucket,,ZGMI,2024-11-20 22:47:58.642 UTC,2024-11-20
36544881,Arm 5 Bucket,,ZGMI,2024-11-20 23:27:51.335 UTC,2024-11-20
80850213,Arm 5 Bucket,,ZGMI,2024-11-20 23:49:22.3 UTC,2024-11-20
1212818,Arm 5 Bucket,,ZGMI,2024-11-20 22:55:08.689 UTC,2024-11-20
34383558,Arm 5 Bucket,,ZGMI,2024-11-20 22:03:58.726 UTC,2024-11-20
420774704,Arm 5 Bucket,,ZGMI,2024-11-20 23:47:35.312 UTC,2024-11-20
245399463,Arm 5 Bucket,,ZGMI,2024-11-20 23:20:42.085 UTC,2024-11-20
