zpid,schoolName,schoolRating,type,gradeLevel,grades,distanceFromListing,link,lastUpdated
28351202,Caraway Intermediate School,,Public,Elementary,,1.1,https://www.greatschools.org/texas/houston/213-Caraway-Intermediate-School/,2024-11-27 06:13:47.193574 UTC
17151093,Vip Village Preschool,,Public,Elementary,,0.8,https://www.greatschools.org/california/imperial-beach/31079-Vip-Village-Preschool/,2024-11-22 11:25:39.370306 UTC
20958651,Maxine Waters Employment Prep Center,,Public,Elementary,,0.6,https://www.greatschools.org/california/los-angeles/14291-Maxine-Waters-Employment-Prep-Center/,2024-11-20 23:54:07.087739 UTC
89644559,Cobb 6th Grade Campus,5,Public,Elementary,6,0.5,https://www.greatschools.org/texas/houston/9422-Cobb-6th-Grade-Campus/,2024-11-28 06:03:26.602665 UTC
73454910,Robert Frost Sixth-Grade Academy,,Public,Elementary,6,10.2,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,2024-11-23 06:36:42.205218 UTC
73563636,Robert Frost Sixth-Grade Academy,,Public,Elementary,6,3.3,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,2024-11-23 06:36:42.205218 UTC
73555820,Robert Frost Sixth-Grade Academy,,Public,Elementary,6,2.6,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,2024-11-23 06:36:42.205218 UTC
73650815,Robert Frost Sixth-Grade Academy,,Public,Elementary,6,7.9,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,2024-11-23 06:36:42.205218 UTC
73569861,Robert Frost Sixth-Grade Academy,,Public,Elementary,6,7.5,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,2024-11-23 06:36:42.205218 UTC
114029011,Robert Frost Sixth-Grade Academy,,Public,Elementary,6,4.2,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,2024-11-23 06:36:42.205218 UTC
2065148334,Robert Frost Sixth-Grade Academy,,Public,Elementary,6,3.1,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,2024-11-23 06:36:42.205218 UTC
114029011,Robert Frost Sixth-Grade Academy,,Public,Elementary,6,4.2,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,2024-11-23 06:38:32.696502 UTC
2065148334,Robert Frost Sixth-Grade Academy,,Public,Elementary,6,3.1,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,2024-11-23 06:38:32.696502 UTC
73569861,Robert Frost Sixth-Grade Academy,,Public,Elementary,6,7.5,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,2024-11-23 06:38:32.696502 UTC
73454910,Robert Frost Sixth-Grade Academy,,Public,Elementary,6,10.2,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,2024-11-23 06:38:32.696502 UTC
73563636,Robert Frost Sixth-Grade Academy,,Public,Elementary,6,3.3,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,2024-11-23 06:38:32.696502 UTC
73555820,Robert Frost Sixth-Grade Academy,,Public,Elementary,6,2.6,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,2024-11-23 06:38:32.696502 UTC
73650815,Robert Frost Sixth-Grade Academy,,Public,Elementary,6,7.9,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,2024-11-23 06:38:32.696502 UTC
73569861,Robert Frost Sixth-Grade Academy,,Public,Elementary,6,7.5,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,2024-11-23 06:39:45.005993 UTC
73650815,Robert Frost Sixth-Grade Academy,,Public,Elementary,6,7.9,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,2024-11-23 06:39:45.005993 UTC
73563636,Robert Frost Sixth-Grade Academy,,Public,Elementary,6,3.3,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,2024-11-23 06:39:45.005993 UTC
73454910,Robert Frost Sixth-Grade Academy,,Public,Elementary,6,10.2,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,2024-11-23 06:39:45.005993 UTC
114029011,Robert Frost Sixth-Grade Academy,,Public,Elementary,6,4.2,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,2024-11-23 06:39:45.005993 UTC
2065148334,Robert Frost Sixth-Grade Academy,,Public,Elementary,6,3.1,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,2024-11-23 06:39:45.005993 UTC
73555820,Robert Frost Sixth-Grade Academy,,Public,Elementary,6,2.6,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,2024-11-23 06:39:45.005993 UTC
73546515,Robert Frost Sixth-Grade Academy,,Public,Elementary,6,1,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,2024-11-23 09:30:22.381606 UTC
73573807,Robert Frost Sixth-Grade Academy,,Public,Elementary,6,2.3,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,2024-11-23 09:30:22.381606 UTC
114028776,Robert Frost Sixth-Grade Academy,,Public,Elementary,6,4.3,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,2024-11-20 23:54:07.087739 UTC
73577611,Robert Frost Sixth-Grade Academy,,Public,Elementary,6,2.6,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,2024-11-20 23:54:07.087739 UTC
73563542,Robert Frost Sixth-Grade Academy,,Public,Elementary,6,4.2,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,2024-11-20 23:54:07.087739 UTC
284889931,Robert Frost Sixth-Grade Academy,,Public,Elementary,6,3.6,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,2024-11-20 23:54:07.087739 UTC
443023156,Robert Frost Sixth-Grade Academy,,Public,Elementary,6,3.9,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,2024-11-29 05:32:39.695397 UTC
114038299,Robert Frost Sixth-Grade Academy,,Public,Elementary,6,2.4,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,2024-11-28 06:03:26.602665 UTC
73580059,Robert Frost Sixth-Grade Academy,,Public,Elementary,6,9.7,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,2024-11-28 06:03:26.602665 UTC
73586188,Robert Frost Sixth-Grade Academy,,Public,Elementary,6,8.1,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,2024-11-28 06:03:26.602665 UTC
73599683,Robert Frost Sixth-Grade Academy,,Public,Elementary,6,2,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,2024-11-27 06:13:47.193574 UTC
95195421,Robert Frost Sixth-Grade Academy,,Public,Elementary,6,0.7,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,2024-11-27 06:13:47.193574 UTC
73577319,Robert Frost Sixth-Grade Academy,,Public,Elementary,6,1.3,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,2024-11-27 09:23:19.830028 UTC
2060431024,Robert Frost Sixth-Grade Academy,,Public,Elementary,6,1.4,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,2024-11-21 11:09:29.025827 UTC
114029084,Robert Frost Sixth-Grade Academy,,Public,Elementary,6,4.3,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,2024-11-21 11:09:29.025827 UTC
114028776,Robert Frost Sixth-Grade Academy,,Public,Elementary,6,4.3,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,2024-11-21 11:09:29.025827 UTC
73650917,Robert Frost Sixth-Grade Academy,,Public,Elementary,6,0.4,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,2024-11-21 11:09:29.025827 UTC
73589952,Robert Frost Sixth-Grade Academy,,Public,Elementary,6,1.2,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,2024-11-22 11:25:39.370306 UTC
73579513,Robert Frost Sixth-Grade Academy,,Public,Elementary,6,9.8,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,2024-11-22 11:25:39.370306 UTC
114029084,Robert Frost Sixth-Grade Academy,,Public,Elementary,6,4.3,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,2024-11-22 11:25:39.370306 UTC
73651119,Robert Frost Sixth-Grade Academy,,Public,Elementary,6,1.3,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,2024-11-22 11:25:39.370306 UTC
95201947,Robert Frost Sixth-Grade Academy,,Public,Elementary,6,0.6,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,2024-11-22 11:25:39.370306 UTC
73650917,Robert Frost Sixth-Grade Academy,,Public,Elementary,6,0.4,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,2024-11-22 11:25:39.370306 UTC
73563648,Robert Frost Sixth-Grade Academy,,Public,Elementary,6,3.3,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,2024-11-22 11:25:39.370306 UTC
73569861,Robert Frost Sixth-Grade Academy,,Public,Elementary,6,7.5,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,2024-11-22 11:25:39.370306 UTC
