zpid,is_FSBA,is_comingSoon,is_newHome,is_pending,is_forAuction,is_foreclosure,is_bankOwned,is_openHouse,is_FSBO,lastUpdated
348939329,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442720817,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442717169,false,false,true,false,false,false,false,true,false,2024-11-20 23:54:07.345926 UTC
442707890,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
43812298,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
402142668,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
338639491,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
2054462658,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
2056831327,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
2058508561,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
26461574,false,false,false,false,false,true,false,false,false,2024-11-20 23:54:07.345926 UTC
88176329,false,true,false,false,false,false,false,true,false,2024-11-20 23:54:07.345926 UTC
442703769,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442716195,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
2061885067,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
47242177,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
36559584,false,true,false,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442517512,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
349016837,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
420826357,false,false,true,false,false,false,false,true,false,2024-11-20 23:54:07.345926 UTC
442725407,false,false,true,false,false,false,false,true,false,2024-11-20 23:54:07.345926 UTC
36508782,false,false,false,false,true,false,false,false,false,2024-11-20 23:54:07.345926 UTC
440018509,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442707911,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
382077686,false,false,true,false,false,false,false,true,false,2024-11-20 23:54:07.345926 UTC
442637000,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442707868,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442720886,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442721972,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442721360,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442703227,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442725266,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
2053937161,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
82535839,false,false,false,false,false,true,false,false,false,2024-11-20 23:54:07.345926 UTC
439275291,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442724207,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
2053940660,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
348874397,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442693744,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
431173644,false,false,true,false,false,false,false,true,false,2024-11-20 23:54:07.345926 UTC
27947306,false,false,true,false,false,false,false,true,false,2024-11-20 23:54:07.345926 UTC
88735865,false,true,false,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
11353073,false,false,false,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
102322555,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
